N = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15};
H = {1, 2, 3, 4, 5};
q = [1, 4, 3, 4, 8, 2, 7, 2, 7, 5, 5, 9, 2, 9, 9];
c = [62, 154, 154, 148, 113];
Q = [94, 100, 73, 60, 41];
delta = 60;
d = [
  [33, 60, 86, 53, 75],
  [47, 117, 32, 63, 128],
  [53, 139, 30, 87, 150],
  [38, 79, 65, 24, 94],
  [84, 10, 139, 49, 48],
  [88, 48, 142, 54, 14],
  [76, 103, 59, 56, 116],
  [72, 100, 52, 54, 114],
  [46, 125, 31, 70, 134],
  [44, 89, 60, 65, 102],
  [35, 124, 21, 71, 138],
  [101, 22, 152, 68, 21],
  [56, 93, 57, 38, 102],
  [21, 107, 39, 53, 119],
  [50, 129, 32, 72, 139]
];
